ChannelCode Channel
----------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1           OnSiteDemo
2           InternetReview
3           Magazine
4           CustomerReview
5           Television
6           SocialMedia
7           RoadShow
8           Website
9           Brochure
10          Quality

(10 rows affected)


Completion time: 2026-04-24T21:31:16.3000495+05:30
