Sno         RangeName                                                                                                                                                                                                                                                       MinPrice              MaxPrice
----------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------------- ---------------------
1           VeryLow                                                                                                                                                                                                                                                         0.00                  100.00
2           Low                                                                                                                                                                                                                                                             100.00                1000.00
3           Medium                                                                                                                                                                                                                                                          1000.00               5000.00
4           High                                                                                                                                                                                                                                                            5000.00               15000.00
5           VeryHigh                                                                                                                                                                                                                                                        15000.00              20000.00
6           Gold                                                                                                                                                                                                                                                            20000.00              25000.00
7           Platinum                                                                                                                                                                                                                                                        25000.00              999999999.00

(7 rows affected)


Completion time: 2026-04-24T21:34:57.0588452+05:30
