SubCategoryCode SubCategoryName                                                                                                                                                                                                                                                 CategoryCode
--------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------
3               Compactors                                                                                                                                                                                                                                                      1
2               Cranes                                                                                                                                                                                                                                                          1
15              RoadPavers                                                                                                                                                                                                                                                      1
14              RockDrillers                                                                                                                                                                                                                                                    1
16              TunnelBores                                                                                                                                                                                                                                                     1
8               FarmTillers                                                                                                                                                                                                                                                     2
9               Harvesters                                                                                                                                                                                                                                                      2
17              Tractors                                                                                                                                                                                                                                                        2
18              Trenchers                                                                                                                                                                                                                                                       2
1               Bulldozers                                                                                                                                                                                                                                                      3
4               Dredgers                                                                                                                                                                                                                                                        3
5               EarthMovers                                                                                                                                                                                                                                                     3
6               Excavators                                                                                                                                                                                                                                                      3
10              IceBreakers                                                                                                                                                                                                                                                     3
7               ForkLifts                                                                                                                                                                                                                                                       4
13              OilRigs                                                                                                                                                                                                                                                         4
19              WindTurbines                                                                                                                                                                                                                                                    5
11              Locomotives                                                                                                                                                                                                                                                     6
12              MiningTrucks                                                                                                                                                                                                                                                    6
20              Lubricants                                                                                                                                                                                                                                                      7

(20 rows affected)


Completion time: 2026-04-24T21:29:59.4457640+05:30
